thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,left,1,['left'],1.7277360820007743,0.05,4,1,test,,1,571.2888020000009,572.2932317079994,573.1491111249998,575.1128122080008,576.6209815000002,4.612833581999439,,,2023-12-15_10h20.10.618,
,,left,0,['right'],2.8521867910003493,0,4,1,test,,15,578.0031556249996,579.006992916,579.8617885410004,583.0001020830005,588.0108352910011,9.38135687400063,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.4524344580004254,0.05,4,1,test,,16,589.4473721249997,590.4574560830006,591.3126061250005,593.0012197079996,594.5076977909994,4.436606125000253,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.9680909579983563,0.05,4,2,test,,4,595.9582552909997,596.9629768750001,597.8180279160006,599.0468930829993,600.553528583001,3.363120790998437,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.8833740819991363,0,5,2,test,,3,601.4091726250008,602.4150467500003,603.2698230410006,605.4316715000004,610.4402732500002,8.65160083199953,,,2023-12-15_10h20.10.618,
,,right,0,['left'],1.431610374000229,0,5,2,test,,11,612.1178127500007,613.1209931249996,613.9747482500006,615.6728675409995,620.6780604159994,7.956628456999169,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.4058909989998938,0.05,5,2,test,,13,622.1468906249993,623.1503122909999,624.0045367500006,625.6465242909999,627.1520567909993,4.390944206999848,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.2770482910000283,0,5,2,test,,5,628.6244767499993,629.6276174579998,630.4815041250004,632.0057886249997,637.0131584160008,7.776098082000317,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.4614377910002077,0.05,5,1,test,,4,638.4729703329995,639.4762155410008,640.3303558749994,642.0152534999997,643.5210217080003,4.489358125001672,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.8730594999997265,0.05,4,2,test,,8,645.0350043750004,646.038477125001,646.8929975829997,648.0056802500003,649.5114400830007,3.9360982500002137,,,2023-12-15_10h20.10.618,
,,,0,['right'],None,0,4,1,test,,19,651.0320873330002,652.0351762909995,652.8893988330001,656.9091236660006,661.9142723330006,109.77635183299935,,,2023-12-15_10h20.10.618,
